food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Boisson au soja, nature, non enrichie, préemballée",,12.0,7.0,,,,16.0,,50.0,110.0,,,
"Boisson au soja, nature, enrichie en calcium, préemballée",,98.0,26.0,,,,13.0,,81.0,86.0,,,
"Boisson au soja, aromatisée, sucrée, non enrichie, préemballée",,12.0,,,,,18.0,,49.0,140.0,,,
"Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée",,53.0,32.0,,,,21.0,,48.0,137.0,,,
"Boisson au riz, nature, préemballée",,5.0,51.0,,,,,,10.0,16.0,,,
"Boisson à base d'avoine, nature, préemballée",,1.0,50.0,,,,,,11.0,32.0,,,
"Boisson à la châtaigne, nature, préemballée",,77.0,,,,,,,11.0,42.0,20.0,,
"Boisson à la noix de coco, nature, préemballée",,,55.0,,,,,,,14.0,,,
"Boisson au soja et jus de fruits concentrés, préemballée",,,,,,,,,,,,87.0,
"Café, non instantané, non sucré, prêt à boire",,,,,,,,,,150.0,,,
"Thé infusé, non sucré",,,,,,,2.0,,1.0,,,,
"Tisane infusée, non sucrée",,2.0,,,,1.0,1.0,,0.0,9.0,,1.0,
"Café décaféiné, non instantané, non sucré, prêt à boire",,2.0,,,,1.0,,,4.0,,,8.0,
"Café expresso, non instantané, non sucré, prêt à boire",,,,,,,,,,150.0,,,
"Café décaféiné, instantané, non sucré, prêt à boire",,4.0,,,,1.0,4.0,,3.0,36.0,,4.0,
"Café, instantané, non sucré, prêt à boire",,4.0,,,,1.0,4.0,,3.0,30.0,,4.0,
"Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",,,,,,,,,,239.0,,,
"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)",,,,,,,,,,,,,
"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire",,,,,,,,,,109.0,,,
"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",,117.0,,0.0,,,,0.0,,162.0,,,
"Thé noir, infusé, non sucré",,0.0,,,,,3.0,,1.0,37.0,,3.0,
"Thé vert, infusé, non sucré",,,,,,,,,,,,,
"Thé oolong, infusé, non sucré",,,,,,,,,,,,,
"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",,,,,,,,,,,,,
"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)",,11.0,,,,,35.0,,15.0,160.0,,,
"Café, moulu",,120.0,,,,,240.0,,160.0,2020.0,10.0,74.0,
"Café, poudre soluble",,151.0,,,,,359.0,,327.0,3770.0,,39.0,
"Sirop à diluer, sucré",,,,,,,,,,17.0,,,
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""",,,,,,,2.0,,,57.0,,11.0,
"Café, décaféiné, poudre soluble",,140.0,,,,,311.0,,286.0,3500.0,,23.0,
"Thé, feuille",,430.0,,,18.0,16.0,250.0,71.0,630.0,2160.0,,45.0,
"Cacao, non sucré, poudre soluble",,140.0,,,,,500.0,,690.0,3900.0,,45.0,
"Poudre cacaotée ou au chocolat pour boisson, sucrée",,116.0,,,13.0,,166.0,,244.0,605.0,,85.0,
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",,255.0,420.0,,,6.0,248.0,,350.0,1100.0,,219.0,1.0
"Chicorée et café, poudre soluble",,103.0,,,,,213.0,,271.0,3400.0,,289.0,
"Chicorée, poudre soluble",,109.0,,,,,65.0,,223.0,,,156.0,
"Café au lait ou cappuccino, poudre soluble",,,,,,,,,,,,316.0,
"Café au lait ou cappuccino au chocolat, poudre soluble",,,,,,,,,,,,516.0,
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",,523.0,,,,,113.0,,120.0,,,169.0,
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",,36.0,,,,,71.0,,120.0,,,124.0,
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",,,,,,,,,,44.0,,,
Vin doux,,,,,,1.0,,,9.0,,,,
Pétillant de fruits,,6.0,,,,,4.0,,4.0,30.0,,3.0,
Vin blanc mousseux,,,,,,1.0,,,7.0,57.0,,,
Champagne,,,,,,,,,7.0,,,,
Vin blanc mousseux aromatisé,,14.0,,,,,,,13.0,110.0,,13.0,0.0
Vin (aliment moyen),,,,,,,,,,100.0,,,
Vin rouge,,,,,,,,,,118.0,,,
Vin blanc (sec),,,,,,,,,,,,,
Vin rosé,,12.0,,,,1.0,7.0,,6.0,75.0,,4.0,
Bière brune,,,,,,,,,14.0,45.0,,,
"Bière ""coeur de marché"" (4-5° alcool)",,,,,,,,,,,,,0.0
Bière forte (>8° alcool),,,,,,,9.0,,,,,,
Cidre (aliment moyen),,,,,,,,,,,,,
Cidre brut,,,,,,,,,3.0,,,,
Cidre doux,,17.0,23.0,,,,,,6.0,110.0,,,
Bière faiblement alcoolisée (3° alcool),,,,,,,,,,,,,0.0
Bière blanche,,,,,,,,,,,,,
"Bière ""spéciale"" (5-6° alcool)",,,24.0,,,,,,25.0,,,,0.0
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",,,,,,,,,,,,,
Cidre traditionnel,,,,,,,,,3.0,,0.0,,
Cidre bouché demi-sec,,17.0,32.0,,,,,,7.0,120.0,,,
Cidre aromatisé (framboise),,16.0,17.0,,,,4.0,,5.0,110.0,,,
"Bière sans alcool (<1,2° alcool)",,,,,,1.0,,,,,,,0.0
Pastis,0.0,0.0,,,,1.0,0.0,0.0,,2.0,0.0,0.0,
Eau de vie,,,,,,,0.0,0.0,5.0,1.0,0.0,1.0,
Gin,,0.0,,,,1.0,0.0,0.0,0.0,0.0,,2.0,
Liqueur,,1.0,,,,1.0,3.0,,6.0,30.0,,,
Rhum,,0.0,,,,1.0,0.0,,,2.0,,1.0,
Whisky,0.0,0.0,,,,,0.0,,3.0,1.0,,0.0,
Apéritif à base de vin ou vermouth,,,,,,,7.0,,,48.0,,15.0,
Vodka,,0.0,,,,1.0,0.0,,,,,1.0,
"Pastis, prêt à boire (1+ 5)",,,,,,,,,,,,,
Apéritif anisé sans alcool,,,,,0.0,,,,0.0,,0.0,15.0,
Alcool pur,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0
Marsala,,4.0,,,,,,,12.0,97.0,,4.0,0.0
Marsala aux oeufs,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0
Crème de cassis,0.0,,,,,,,,,128.0,,0.0,
"Eau de vie de vin, type armagnac, cognac",,,,,,,,,,,,,
"Eau de vie, type calvados",0.0,,,,,,,,,,,0.0,
Saké ou Alcool de riz,,5.0,,,,,6.0,,6.0,25.0,,2.0,
Cocktail à base de rhum,,8.0,,,,,8.0,,7.0,71.0,,6.0,
Cocktail à base de whisky,,46.0,,,,,3.0,,4.0,4.0,,47.0,
Sangria,,,,,,,,,,123.0,,3.0,
Kir (au vin blanc),,,,,,,,,18.0,108.0,,,
Kir royal (au champagne),,,,,,,,,11.0,,,,
"Cocktail type punch, 16% alcool",,13.0,,,,,,,13.0,43.0,,,
Cocktail sans alcool (à base de jus de fruits et de sirop),,,,,,,,,,132.0,,2.0,
Panaché (limonade et bière),,,,,,,,,,,,,
Panaché préemballé (<1° alc.),,,,,,1.0,,,,,,,0.0
"Édulcorant à l'aspartame, en pastilles",,,,,,,,,,,,327.0,
"Édulcorant à l'aspartame, en poudre",,,,,,,,,,,,,
Vermicelles multicolores,,,,,,,,,,,,,
Miel,,,,,,,,,,,,,
Sucre blanc,,,,,,,,,0.0,,,,
Sucre roux,,83.0,,,,,,,3.0,227.0,1.0,,
Sirop d'érable,,106.0,,,,,21.0,,2.0,219.0,,,
Sucre vanillé,,,,,,,,,,2.0,,,
Caramel liquide ou nappage caramel,,,,,,,,,,,,5.0,
Édulcorant à la saccharine,,0.0,,0.0,,,0.0,,0.0,4.0,0.0,428.0,
Mélasse de canne,,205.0,,,,,242.0,,31.0,1460.0,,37.0,
Sucre allégé à l'aspartame,,,,,,,,,,,,,
Fructose,,,,,,5.0,0.0,,,,,,
Édulcorant à base d'extrait de stévia,,,,,,,,,,,,169.0,
Sirop d'agave,,,,,,,,,,,,,
Barre chocolatée biscuitée,,263.0,,,,,45.0,,234.0,356.0,,155.0,
Barre chocolatée non biscuitée enrobée,,,,,,,,,155.0,42.0,,200.0,
"Barre à la noix de coco, enrobée de chocolat",,,155.0,,,11.0,,,103.0,331.0,1.0,200.0,
"Chocolat au lait, tablette",,220.0,247.0,,,,59.0,,230.0,510.0,,78.0,
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",,,,1.0,,,120.0,,218.0,490.0,,,2.0
"Chocolat au lait aux céréales croustillantes, tablette",,166.0,,,,23.0,48.0,,207.0,370.0,,205.0,
"Chocolat blanc, tablette",,281.0,,,,,,,230.0,350.0,3.0,88.0,
Barres ou confiserie chocolatées au lait,,116.0,,,,,187.0,,183.0,147.0,,90.0,
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",,187.0,,,,17.0,61.0,,206.0,617.0,,101.0,
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",,130.0,,,,,,,150.0,,,135.0,
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",,230.0,,,,,,,,,,115.0,
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",,,,,,50.0,152.0,,225.0,793.0,,,
Pâte à tartiner chocolat et noisette,,,,,,17.0,,,183.0,503.0,,,1.0
Confiserie au chocolat dragéifiée,,231.0,,,,,,,292.0,112.0,,113.0,
Cacahuètes enrobées de chocolat dragéifiées,,100.0,131.0,,,,95.0,,230.0,500.0,,47.0,
Bouchée chocolat fourrage fruits à coques et/ou praliné,,275.0,,,,,52.0,,262.0,,,130.0,
Rocher chocolat fourré praliné,,120.0,,,,,82.0,,200.0,430.0,,,
"Chocolat noir aux fruits (orange, framboise, poire), tablette",,76.0,,,4.0,,102.0,,,,,,
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",,64.0,,,,,140.0,,230.0,510.0,,12.0,2.0
Barre chocolatée aux fruits secs,,122.0,,,,,,,198.0,,,151.0,
Chocolat noir fourrage confiseur à la menthe,,14.0,,,3.0,,48.0,,70.0,150.0,,,
Barre goûter frais au lait et chocolat,,323.0,,,,,45.0,,270.0,,,68.0,
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",,62.0,,,11.0,,200.0,,280.0,750.0,,8.0,3.0
Chocolat au lait fourré,,,,,,,,,,,,100.0,
"Chocolat noir fourré praliné, tablette",,70.0,,,,,110.0,,180.0,400.0,,,
"Chocolat au lait fourré au praliné, tablette",,150.0,151.0,,,,70.0,,210.0,420.0,,,
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",,46.0,,,,,130.0,,186.0,300.0,,,
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,,40.0,,,,,,,,,,128.0,
Barre chocolat au lait avec nougat,,150.0,110.0,,,,50.0,,160.0,260.0,,,
Barre goûter frais au lait et chocolat avec génoise,,174.0,,,,10.0,,,157.0,296.0,,,
"Chocolat, en tablette (aliment moyen)",,130.0,124.0,,,,109.0,,238.0,562.0,,,
"Bonbons, tout type",,,,,,12.0,,,15.0,,,,
"Chewing-gum, sucré",,18.0,,,,,340.0,,,,,,
Pâte de fruits,,25.0,,,,,18.0,,44.0,170.0,,31.0,
Zeste d'orange confit,,65.0,,,,,,,5.0,24.0,,27.0,
Marron glacé,,,,,,,,,17.0,54.0,,32.0,
Fruit confit,,71.0,,,,,,,,40.0,,56.0,
Nougat ou touron,,173.0,,,,,54.0,,265.0,377.0,,1.0,
Dragée amande,,91.0,,,,,48.0,,165.0,244.0,,67.0,
Guimauve ou marshmallow,,3.0,,,,,,,8.0,,,,
"Chewing-gum, sans sucre",,3700.0,,,,,130.0,,60.0,73.0,,,
Bonbon dur et sucette,,3.0,,,,,3.0,,3.0,5.0,,,
Bonbon gélifié,,9.0,,,,,2.0,,,85.0,,,
"Bonbon au caramel, mou",,,364.0,,,,,,,154.0,,182.0,
Calissons d'Aix en Provence,,81.0,,,,,67.0,,160.0,210.0,,12.0,
"Guimauve ou marshmallow, enrobé de chocolat",,,,,,,,,,,,40.0,
Bonbon dur au caramel,,,,,,,,,,,,449.0,
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",,2400.0,,,,,204.0,,,,,,
"Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen)",,,,,,,,,,,10.0,,
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",,,,,,10.0,,,,,10.0,,
Confiture de fraise (extra ou classique),,9.0,,,,,,,10.0,77.0,,7.0,
Confiture d'abricot (extra ou classique),,,,,,,,,,110.0,,5.0,
Confiture de cerise (extra ou classique),,12.0,,,,,,,16.0,110.0,,7.0,
Marmelade d'orange,,33.0,,,,,,,,49.0,,6.0,
Confiture de lait,,211.0,,,,,22.0,,193.0,350.0,,109.0,
Confiture de prune (extra ou classique),,,,,,,,,,,,16.0,
Confiture de framboise (extra ou classique),,,,,,,,,11.0,100.0,,5.0,
Confiture de myrtilles (extra ou classique),,,,,,,,,,35.0,,,
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),,,,,,,,,,,,,
Gelée de fruits divers (extra ou classique),,,,,,,,,,,,,
Gelée de groseille (extra ou classique),,,,,,,,,,84.0,,,
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",,13.0,,,,,,,12.0,110.0,,9.0,
Pain brioché ou viennois,,,915.0,,1.0,,,,122.0,163.0,,525.0,
Viennoiserie (aliment moyen),,,679.0,,,,,,,142.0,,417.0,
"Croissant, sans précision",,,,,,,,,91.0,172.0,,450.0,
"Croissant ordinaire, artisanal",,21.0,845.0,,,,17.0,,88.0,130.0,,523.0,
"Croissant au beurre, artisanal",,22.0,723.0,,,,15.0,,78.0,120.0,,463.0,
"Croissant aux amandes, artisanal",,,,,,,,,116.0,174.0,,317.0,
"Pain au lait, artisanal",,,791.0,,,,,,114.0,171.0,,438.0,
"Pain au lait, préemballé",,,725.0,,,,,,101.0,142.0,,423.0,
"Pain au lait aux pépites de chocolat, préemballé",,60.0,622.0,,2.0,,28.0,,120.0,180.0,,371.0,
Pain aux raisins (viennoiserie),,,,,,,,,100.0,278.0,,280.0,
"Pain au chocolat feuilleté, artisanal",,23.0,655.0,,,,29.0,,95.0,160.0,,392.0,
"Pain au chocolat, préemballé",,91.0,690.0,,,,32.0,,93.0,150.0,,441.0,
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",,52.0,631.0,,,,31.0,,110.0,170.0,,376.0,
Brioche fourrée au chocolat,,,,,,,,,,,,353.0,
"Brioche fourrée aux fruits, préemballée",1.0,,,,,,,,,,,400.0,
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",,,,,,,,,,,,274.0,
"Brioche, préemballée",1.0,32.0,689.0,,,,18.0,,91.0,120.0,,401.0,
"Brioche, sans précision",,,,,,,,,138.0,178.0,,451.0,
"Brioche, de boulangerie traditionnelle",,30.0,809.0,,,10.0,,,140.0,198.0,,590.0,
"Couronne de Noël (Brioche) aux fruits confits, préemballée",,,,,,,,,,,,354.0,
"Brioche pur beurre, préemballée",,30.0,667.0,,,,19.0,,96.0,110.0,,384.0,
Chouquette,,36.0,697.0,,,,,,113.0,107.0,16.0,433.0,
Chausson aux pommes,,15.0,,,,,10.0,,150.0,106.0,,340.0,
"Tartine craquante, extrudée et grillée, fourrée au chocolat",,173.0,394.0,,,,,,190.0,411.0,,134.0,
"Tartine craquante, extrudée et grillée, fourrée aux fruits",,145.0,253.0,,,,,,129.0,160.0,,169.0,
Macaron sec,,,,,,,,,,,,,
"Biscuit sec, sans précision",,,,,,,16.0,,152.0,129.0,24.0,252.0,
Biscuit sec nature,,,,,,,,,150.0,125.0,,334.0,
Biscuit sec à teneur garantie en vitamines,,,,,2.0,13.0,54.0,,149.0,275.0,6.0,,
Biscuit sec à teneur garantie en vitamines et minéraux,,,,,,11.0,195.0,,213.0,256.0,8.0,177.0,
"Biscuit sec aux fruits, hyposodé",,45.0,,,,12.0,40.0,,160.0,325.0,,15.0,
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",,20.0,,,,,30.0,,170.0,350.0,,137.0,
"Biscuit sec croquant au chocolat, allégé en matière grasse",,,,,,,90.0,,,,,870.0,
"Biscuit sec fourré aux fruits, allégé en matière grasse",,59.0,206.0,,,,,,94.0,152.0,,230.0,
Spéculoos,,,,,,,,,,,,343.0,
"Biscuit sec, avec matière grasse végétale",,,,,,6.0,,,142.0,,,289.0,
"Biscuit sec, petits fours en assortiment",,55.0,231.0,,,,35.0,,110.0,200.0,,185.0,
Biscuit sec petit beurre,,34.0,595.0,,,,18.0,,100.0,150.0,,462.0,
Biscuit sec avec tablette de chocolat,,94.0,,,,24.0,,,185.0,218.0,,240.0,
Biscuit sec petit beurre au chocolat,,,,,,,,,,,,490.0,
Biscuit sec au lait,,,558.0,,,,,,,,,455.0,
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",,199.0,279.0,,,,,,239.0,211.0,,311.0,
Biscuit sec pour petit déjeuner,,250.0,473.0,,4.0,,140.0,,240.0,190.0,,477.0,
"Biscuit sec pour petit déjeuner, allégé en sucres",,200.0,,,,,90.0,,200.0,,,270.0,
"Biscuit sec chocolaté, préemballé",,,368.0,,,6.0,,,165.0,221.0,,200.0,
Biscuit sec fourré à la pâte ou purée de fruits,,64.0,235.0,,1.0,12.0,294.0,,37.0,269.0,,160.0,
Biscuit sec avec nappage chocolat,,45.0,,,,,,,131.0,193.0,,156.0,
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",,,,,,,,,,,,167.0,
"Biscuit sec pour petit déjeuner, au chocolat",,,325.0,,,,,,232.0,259.0,,380.0,
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",,39.0,314.0,,,,120.0,,220.0,270.0,,348.0,
"Biscuit sec au beurre, sablé, galette ou palet",,,561.0,,,18.0,14.0,,66.0,88.0,,324.0,
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",,34.0,297.0,,7.0,,51.0,,140.0,270.0,,306.0,
"Biscuit sec chocolaté, type barquette",,,,,,,,,,,,160.0,
"Biscuit sec chocolaté, type tartelette",,58.0,247.0,,,,59.0,,160.0,360.0,,178.0,1.0
"Biscuit sec chocolaté, type galette",,,,,,,,,171.0,,,261.0,
"Biscuit sec, sablé, galette ou palet, aux fruits",,35.0,202.0,,1.0,,32.0,,130.0,210.0,,196.0,
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),,23.0,200.0,,,,28.0,,110.0,210.0,,149.0,
Florentin (biscuit sec sucré chocolaté aux amandes),,120.0,81.0,,,,84.0,,180.0,320.0,,52.0,
Biscuit pâtissier meringué,,,,,,,,,,,,122.0,
Sablé à la noix de coco,,,,,,,,,,,,295.0,
"Sablé pâtissier, artisanal",,,107.0,,,,,,131.0,123.0,,163.0,
"Sablé aux fruits (pomme, fruits rouges, etc.)",,,,,,,,,,,,225.0,
"Sablé au cacao ou chocolat, au praliné ou autre",,,,,,,,,,,,378.0,
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",,,308.0,,,,,,77.0,,,222.0,
"Goûter sec fourré (""sandwiché"") parfum chocolat",,120.0,,,,24.0,,,117.0,190.0,,246.0,
"Goûter sec fourré (""sandwiché"") parfum fruits",,240.0,243.0,,,,120.0,,300.0,80.0,,216.0,
Gaufrette ou éventail sans fourrage,1.0,,577.0,,,,,,140.0,144.0,,400.0,
"Gaufrette fourrée chocolat, préemballée",,34.0,,,,,11.0,,,,,109.0,
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",,,194.0,,,,,,122.0,263.0,,134.0,
"Gaufrette, fourrée vanille, préemballée",,92.0,241.0,,,,24.0,,120.0,260.0,,144.0,
"Gaufrette fourrée, aux fruits",,,,,,,,,,,,110.0,
Cigarette,,,455.0,,,,,,,163.0,,111.0,
Crêpe dentelle,,,,,,,,,,,,255.0,
"Crêpe dentelle au chocolat, préemballée",,,,,,,,,,,,198.0,
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,,,,,,,,,107.0,109.0,,161.0,
Biscuit sec type langue de chat ou cigarette russe,,,360.0,,,2.0,,,84.0,135.0,2.0,229.0,
Meringue,,,,,,2.0,,,,,3.0,,
"Biscuit sec ou tuile, aux amandes",,49.0,150.0,,,,40.0,,120.0,170.0,,82.0,
"Biscuit sec type tuile, aux fruits",,,,,,,,,,,,296.0,
"Biscuit sec feuilleté, type palmier ou autres",,,,,,3.0,,,,,,400.0,
"Palmier, artisanal",,,,,,,,,54.0,,,463.0,
"Biscuit sec (génoise) nappage aux fruits, type barquette",,19.0,,,,5.0,11.0,,66.0,110.0,,48.0,
"Biscuit sec nappé aux fruits, tartelette",,,,,,,,,,70.0,,146.0,
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,,,,,11.0,,,55.0,81.0,,,
Cookie aux pépites de chocolat,,,,,,11.0,,,153.0,270.0,,403.0,
"Cône ou cornet classique, pour glace",,,,,,,,,,,,215.0,
Génoise sèche fourrée aux fruits et nappée de chocolat,,,,,,12.0,37.0,,,159.0,,70.0,
Biscuit sec pauvre en glucides,,,,,,,,,,,,345.0,
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",,276.0,50.0,,,8.0,,,214.0,192.0,,7.0,
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",,340.0,298.0,,,8.0,,,85.0,402.0,,211.0,
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",,,,,,5.0,146.0,,317.0,500.0,,503.0,4.0
Céréales pour petit déjeuner (aliment moyen),,231.0,445.0,,,24.0,53.0,1.0,171.0,306.0,,316.0,
Muesli (aliment moyen),,,250.0,,,,,,247.0,431.0,,274.0,
"Pétales de maïs natures, enrichis en vitamines et minéraux",,124.0,1040.0,,,,,,54.0,131.0,,660.0,
"Riz soufflé nature, enrichi en vitamines et minéraux",,,,,8.0,2.0,,,150.0,170.0,,450.0,7.0
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",,,,,,,,,,,,310.0,
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",,228.0,332.0,,,5.0,55.0,,145.0,506.0,12.0,216.0,1.0
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),,25.0,264.0,,,,80.0,,200.0,450.0,,260.0,
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),,26.0,451.0,,,,61.0,,140.0,370.0,,375.0,
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",,,,,7.0,,,,,,,159.0,
Pétales de maïs natures (non enrichis en vitamines et minéraux),,,,,,,,,,,,857.0,
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",,242.0,,,,40.0,,,204.0,344.0,2.0,357.0,
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,,,,,,,,,,,,183.0,
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",,266.0,,,7.0,7.0,20.0,,272.0,270.0,3.0,313.0,
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",,530.0,685.0,,,5.0,,,180.0,223.0,,497.0,
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",,361.0,580.0,,,40.0,60.0,,169.0,235.0,2.0,274.0,
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",,354.0,,,,20.0,,,170.0,237.0,,424.0,
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",1.0,405.0,,,,,,,,,,400.0,
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",,24.0,555.0,,6.0,,45.0,,166.0,250.0,,414.0,
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",,30.0,648.0,,,,63.0,,170.0,380.0,,496.0,
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",,,,,7.0,,,,174.0,,,475.0,
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",,272.0,481.0,,,,,,159.0,285.0,,342.0,
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",,,313.0,,,,,,191.0,418.0,10.0,271.0,
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),,,,,,,,,,,,450.0,
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",,340.0,255.0,,,44.0,102.0,,277.0,390.0,,136.0,
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),,31.0,376.0,,,,106.0,,250.0,340.0,,142.0,
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",,59.0,373.0,,,20.0,90.0,,310.0,520.0,,196.0,
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",1.0,,182.0,,,,,,206.0,382.0,,390.0,
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",,190.0,290.0,,,,80.0,,240.0,290.0,,174.0,
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",,143.0,130.0,,,2.0,,,315.0,460.0,,100.0,
"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",,267.0,227.0,,,8.0,80.0,,220.0,400.0,1.0,,2.0
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",,60.0,,,,,220.0,,610.0,820.0,,225.0,6.0
"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",,371.0,530.0,,,5.0,10.0,,30.0,70.0,,500.0,
"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",,154.0,,,,5.0,103.0,,293.0,400.0,,600.0,
Muesli floconneux ou de type traditionnel,,,,,,,,,,,,60.0,
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),,86.0,457.0,,7.0,,21.0,,73.0,110.0,,287.0,
Blé khorasan complet soufflé,,,,,,,,,,,,,
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",,456.0,478.0,,,2.0,,,123.0,323.0,,295.0,
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",,291.0,,,,3.0,10.0,,180.0,70.0,,335.0,
"Céréales complètes soufflées, enrichies en vitamines et minéraux",,362.0,,,,,,,,,,375.0,
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",,252.0,,,,5.0,60.0,,190.0,230.0,12.0,488.0,1.0
"Muesli croustillant, au quinoa",,,,,,,,,,,,,
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),,,,,,,,,240.0,,,40.0,
Muesli enrichi en vitamines et minéraux (aliment moyen),,,252.0,,,,,,244.0,433.0,,319.0,
Flocon d'avoine précuit,,50.0,,,,,104.0,,387.0,325.0,,4.0,
Muesli non enrichi en vitamines et minéraux (aliment moyen),,,,,,,,,258.0,,,,
