food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",,,,,,,25.0,,,,,,,
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",,,,0.0,,,,,,,,,,
Vin doux,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0
Pétillant de fruits,0.0,,0.0,0.0,,,,,,,,,,
Vin blanc mousseux,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0
Champagne,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0
Vin blanc mousseux aromatisé,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,
Vin (aliment moyen),0.0,,0.0,0.0,,,,,,,,,,0.0
Vin rouge,0.0,1.0,0.0,0.0,,,0.0,,,,,,,0.0
Vin blanc (sec),0.0,0.0,0.0,0.0,,,,,,,,,,0.0
Vin rosé,0.0,,0.0,0.0,0.0,,0.0,,,,,,,0.0
Bière brune,0.0,0.0,0.0,0.0,,,0.0,,,,,,,
"Bière ""coeur de marché"" (4-5° alcool)",0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
Bière forte (>8° alcool),0.0,,0.0,0.0,0.0,,0.0,,,,,,,
Cidre (aliment moyen),,,,,,,,,,,,,,
Cidre brut,,,,,,,,,,,,,,
Cidre doux,,,,,,,,,,,,,,
Bière faiblement alcoolisée (3° alcool),0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
Bière blanche,,,,,,,,,,,,,,
"Bière ""spéciale"" (5-6° alcool)",0.0,0.0,0.0,0.0,,,0.0,,,,1.0,,,
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",0.0,,0.0,0.0,0.0,,0.0,,,,,,,
Cidre traditionnel,,0.0,,,,,,,,,,,,
Cidre bouché demi-sec,,,,,,,,,,,,,,
Cidre aromatisé (framboise),,,,,,,,,,,,,,
"Bière sans alcool (<1,2° alcool)",0.0,0.0,0.0,0.0,,,,,,,,,5.0,
Pastis,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eau de vie,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gin,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liqueur,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0
Rhum,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
Whisky,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0
Apéritif à base de vin ou vermouth,0.0,0.0,0.0,0.0,,,,,,,,,,
Vodka,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
"Pastis, prêt à boire (1+ 5)",0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apéritif anisé sans alcool,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alcool pur,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Marsala,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,
Marsala aux oeufs,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,
Crème de cassis,0.0,,0.0,,,,5.0,,,,,,,0.0
"Eau de vie de vin, type armagnac, cognac",0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau de vie, type calvados",,,,,,,,,,,,,,
Saké ou Alcool de riz,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Cocktail à base de rhum,0.0,1.0,,,,,,,,,,,12.0,0.0
Cocktail à base de whisky,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
Sangria,0.0,54.0,0.0,,,,,,,,,,,0.0
Kir (au vin blanc),0.0,,0.0,,,,,,,,,,,0.0
Kir royal (au champagne),0.0,,0.0,,,,,,,,,,,0.0
"Cocktail type punch, 16% alcool",,,,,,,,,,,,,,
Cocktail sans alcool (à base de jus de fruits et de sirop),0.0,75.0,0.0,1.0,,,12.0,,,,,,30.0,
Panaché (limonade et bière),0.0,0.0,0.0,0.0,,,,,,,,,,
Panaché préemballé (<1° alc.),0.0,0.0,0.0,0.0,,,,,,,,,5.0,
"Édulcorant à l'aspartame, en pastilles",,,,,,,,,,,,,,
"Édulcorant à l'aspartame, en poudre",,,,,,,,,,,,,,
Vermicelles multicolores,,,,,,,,,,,,,,
Miel,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,2.0,0.0
Sucre blanc,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Sucre roux,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,1.0,0.0
Sirop d'érable,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0
Sucre vanillé,,,,,,,,,,,,,,
Caramel liquide ou nappage caramel,,,,,,,,,,,,,,
Édulcorant à la saccharine,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mélasse de canne,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0
Sucre allégé à l'aspartame,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Fructose,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Édulcorant à base d'extrait de stévia,,,,,,,,,,,,,,
Sirop d'agave,,,,,,,,,,,,,,
Barre chocolatée biscuitée,188.0,,,,,,,,,,,,,
Barre chocolatée non biscuitée enrobée,200.0,,,,,,,,,,,,,
"Barre à la noix de coco, enrobée de chocolat",8.0,11.0,,,,,,,,,,,25.0,
"Chocolat au lait, tablette",,,,,,,,,,,,,,
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",,,,,,,,,,,,,,0.0
"Chocolat au lait aux céréales croustillantes, tablette",65.0,0.0,0.0,,,,,,,,,,11.0,
"Chocolat blanc, tablette",,75.0,,,,,0.0,,,,,,10.0,
Barres ou confiserie chocolatées au lait,166.0,,,,,,,,,,,,,
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",37.0,22.0,,,0.0,,,,,,,,42.0,
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",,,,,,,,,,,,,,
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",,,,,,,,,,,,,,
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",0.0,32.0,0.0,,,,0.0,,,,,,35.0,
Pâte à tartiner chocolat et noisette,0.0,0.0,0.0,,,,1.0,,,,,,73.0,0.0
Confiserie au chocolat dragéifiée,194.0,,,,,,,,,,,,,
Cacahuètes enrobées de chocolat dragéifiées,,,,,,,,,,,,,,
Bouchée chocolat fourrage fruits à coques et/ou praliné,,,,,,,,,,,,,,
Rocher chocolat fourré praliné,,,,,,,,,,,,,,
"Chocolat noir aux fruits (orange, framboise, poire), tablette",,,,,,,,,,,,,,
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",0.0,,,,,,,,,,,,,0.0
Barre chocolatée aux fruits secs,1.0,,,,,,0.0,,,,,,,
Chocolat noir fourrage confiseur à la menthe,,,,,,,,,,,,,,
Barre goûter frais au lait et chocolat,,,,,,,,,,,,,,
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",,,,,,,,,,,,,52.0,
Chocolat au lait fourré,,,,,,,,,,,,,,
"Chocolat noir fourré praliné, tablette",,,,,,,,,,,,,,
"Chocolat au lait fourré au praliné, tablette",,,,,,,,,,,,,,
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",0.0,54.0,0.0,,,,,,,,,,12.0,
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,,,,,,,,,,,,,,
Barre chocolat au lait avec nougat,,,,,,,,,,,,,,
Barre goûter frais au lait et chocolat avec génoise,,23.0,,,,,,,,,,,,
"Chocolat, en tablette (aliment moyen)",,,,,,,,,,,,,,
"Bonbons, tout type",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chewing-gum, sucré",0.0,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pâte de fruits,0.0,,,,,,,,,,,,12.0,0.0
Zeste d'orange confit,0.0,120.0,0.0,0.0,,,3.0,,,,,0.0,0.0,
Marron glacé,,,,,,,,,,,,,,
Fruit confit,0.0,,,,,,,,,,,,,
Nougat ou touron,0.0,0.0,0.0,,,,0.0,,,,,,26.0,
Dragée amande,0.0,0.0,0.0,,,,0.0,,,,,,16.0,
Guimauve ou marshmallow,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,1.0,0.0
"Chewing-gum, sans sucre",0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0
Bonbon dur et sucette,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0
Bonbon gélifié,,,0.0,0.0,,,,,,,,,,
"Bonbon au caramel, mou",,,,,,,,,,,,,,
Calissons d'Aix en Provence,,249.0,,,,,,,,,,,29.0,
"Guimauve ou marshmallow, enrobé de chocolat",,,,,,,,,,,,,,
Bonbon dur au caramel,,,,,,,,,,,,,,
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",0.0,,,,,,,,,,,,,0.0
"Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen)",,,,,,,,,,,,,,
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",,,,,,,,,,,,,,
Confiture de fraise (extra ou classique),,,,,,,,,,,,,,
Confiture d'abricot (extra ou classique),0.0,,,,,,,,,,,,,
Confiture de cerise (extra ou classique),,,,,,,,,,,,,6.0,
Marmelade d'orange,0.0,,,,,,,,,,,,,0.0
Confiture de lait,73.0,,,,,,,,,,,,11.0,
Confiture de prune (extra ou classique),,,,,,,,,,,,,,
Confiture de framboise (extra ou classique),,,,,2.0,,,,,,,,,
Confiture de myrtilles (extra ou classique),,,,,,,,,,,,,,
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),,,,,,,,,,,,,,
Gelée de fruits divers (extra ou classique),,,,,,,,,,,,,,
Gelée de groseille (extra ou classique),,,,,,,,,,,,,,
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",,122.0,,,,,,,,,,,,
Pain brioché ou viennois,24.0,63.0,,,,,,,,,,,44.0,
Viennoiserie (aliment moyen),,114.0,,,,,,,,,,,,
"Croissant, sans précision",,70.0,,,,,0.0,,,,,,56.0,0.0
"Croissant ordinaire, artisanal",,,,,,,,,,,,,,
"Croissant au beurre, artisanal",200.0,53.0,,,,,,,,,,,,
"Croissant aux amandes, artisanal",111.0,,,,,,,,,,,,,
"Pain au lait, artisanal",44.0,,,,,,0.0,,,,,,46.0,
"Pain au lait, préemballé",,,,,,,,,,,,,,
"Pain au lait aux pépites de chocolat, préemballé",,,,,,,,,,,,,,
Pain aux raisins (viennoiserie),36.0,,,,,,0.0,,,,,,132.0,
"Pain au chocolat feuilleté, artisanal",166.0,,,,,,,,,,,,,
"Pain au chocolat, préemballé",,335.0,,,,,,,,,,,,
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",,,,,,,,,,,,,,
Brioche fourrée au chocolat,,,,,,,,,,,,,,
"Brioche fourrée aux fruits, préemballée",,,,,,,,,,,,,,
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",,,,,,,,,,,,,,
"Brioche, préemballée",,158.0,,,,,,,,,,,,
"Brioche, sans précision",,240.0,,,,,,,,,,,53.0,
"Brioche, de boulangerie traditionnelle",63.0,58.0,,,,,,,,,,,42.0,
"Couronne de Noël (Brioche) aux fruits confits, préemballée",,,,,,,,,,,,,,
"Brioche pur beurre, préemballée",105.0,132.0,,,,,,,,,,,,
Chouquette,150.0,,,,,,0.0,,,,,,,
Chausson aux pommes,99.0,,,,,,,,,,,,,0.0
"Tartine craquante, extrudée et grillée, fourrée au chocolat",,,,,,,,,,,,,35.0,
"Tartine craquante, extrudée et grillée, fourrée aux fruits",,,,,,,,,,,,,30.0,
Macaron sec,,,,,,,,,,,,,,
"Biscuit sec, sans précision",0.0,0.0,,,,,0.0,,,,,,14.0,
Biscuit sec nature,0.0,0.0,0.0,,,,0.0,,,,,,,
Biscuit sec à teneur garantie en vitamines,,,,,,,3.0,,,,,,212.0,
Biscuit sec à teneur garantie en vitamines et minéraux,,,,,,,,,,,,,157.0,
"Biscuit sec aux fruits, hyposodé",1.0,7.0,,,,,0.0,,,,,,435.0,
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",,,,5.0,,,,,,5.0,,,95.0,
"Biscuit sec croquant au chocolat, allégé en matière grasse",,,,,,,,,,,,,,
"Biscuit sec fourré aux fruits, allégé en matière grasse",,,,,,,,,,,,,,
Spéculoos,,,,,,,,,,,,,,
"Biscuit sec, avec matière grasse végétale",,,,,,,,,,,,,,
"Biscuit sec, petits fours en assortiment",,,,,,,,,,,,,,
Biscuit sec petit beurre,107.0,,,,,,,,,,,,,
Biscuit sec avec tablette de chocolat,75.0,49.0,,,,,,,,,,,36.0,
Biscuit sec petit beurre au chocolat,,,,,,,,,,,,,,
Biscuit sec au lait,,,,,,,,,,,,,,
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",,,,,,,,,,,,,,
Biscuit sec pour petit déjeuner,,,,,,,,,,,,,,
"Biscuit sec pour petit déjeuner, allégé en sucres",,,,,,,,,,,,,,
"Biscuit sec chocolaté, préemballé",,7.0,0.0,,,,0.0,,,,,,32.0,0.0
Biscuit sec fourré à la pâte ou purée de fruits,,7.0,0.0,,,,,,,,,,21.0,
Biscuit sec avec nappage chocolat,,,,,,,,,,,,,,
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",,,,,,,,,,,,,,
"Biscuit sec pour petit déjeuner, au chocolat",,,,,,,,,,,,,,
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",,,,,14.0,,,,,,,,,
"Biscuit sec au beurre, sablé, galette ou palet",0.0,1.0,0.0,,11.0,,0.0,,,,,,20.0,0.0
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",116.0,52.0,,,3.0,,,,,,,,,
"Biscuit sec chocolaté, type barquette",,,,,,,,,,,,,,
"Biscuit sec chocolaté, type tartelette",,,,,,,,,,,,,,
"Biscuit sec chocolaté, type galette",,,,4.0,,,,,,6.0,,1.0,79.0,
"Biscuit sec, sablé, galette ou palet, aux fruits",,,,,,,,,,,,,,
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),,,,,,,,,,,,,,
Florentin (biscuit sec sucré chocolaté aux amandes),,,,,,,,,,,,,,
Biscuit pâtissier meringué,,,,,,,,,,,,,,
Sablé à la noix de coco,,,,,,,,,,,,,,
"Sablé pâtissier, artisanal",173.0,,,,,,,,,,,,,
"Sablé aux fruits (pomme, fruits rouges, etc.)",,,,,,,,,,,,,,
"Sablé au cacao ou chocolat, au praliné ou autre",,,,,,,,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",,,,,,,,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum chocolat",,,,3.0,,,,,,,,,28.0,
"Goûter sec fourré (""sandwiché"") parfum fruits",,,,,,,,,,,,,35.0,
Gaufrette ou éventail sans fourrage,,,,,,,2.0,,,,,,5.0,
"Gaufrette fourrée chocolat, préemballée",,,,,,,,,,,,,,
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",,,,,,,,,,,,,,
"Gaufrette, fourrée vanille, préemballée",,,,,,,,,,,,,,
"Gaufrette fourrée, aux fruits",,,,,,,,,,,,,,
Cigarette,,,,,,,,,,,,,,
Crêpe dentelle,,,,,,,,,,,,,,
"Crêpe dentelle au chocolat, préemballée",,,,,,,,,,,,,,
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,,,,,,,0.0,,,,,,,
Biscuit sec type langue de chat ou cigarette russe,,,,,,,,,,,,,41.0,
Meringue,0.0,0.0,0.0,0.0,,,0.0,,,,,,6.0,
"Biscuit sec ou tuile, aux amandes",,,,,,,,,,,,,,
"Biscuit sec type tuile, aux fruits",,,,,,,,,,,,,,
"Biscuit sec feuilleté, type palmier ou autres",,35.0,,,,,0.0,,,,,,,
"Palmier, artisanal",47.0,,,,,,0.0,,,,,,,
"Biscuit sec (génoise) nappage aux fruits, type barquette",,,,,,,,,,,,,,
"Biscuit sec nappé aux fruits, tartelette",,,,,,,,,,,,,,
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,,,,,,,,,,,,26.0,
Cookie aux pépites de chocolat,30.0,11.0,,,,,,,,,,,38.0,
"Cône ou cornet classique, pour glace",,,,,,,,,,,,,,
Génoise sèche fourrée aux fruits et nappée de chocolat,7.0,,,,,,,,,,,,27.0,
Biscuit sec pauvre en glucides,,,,,,,,,,,,,,
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",0.0,,,,,,,,,,,,174.0,
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",,,,10.0,,,,,,,,,165.0,
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",,,,10.0,,,,,,,,,196.0,
Céréales pour petit déjeuner (aliment moyen),,,,,,,,,,,,,155.0,
Muesli (aliment moyen),,,,,,,,,,,,,193.0,
"Pétales de maïs natures, enrichis en vitamines et minéraux",0.0,,,,,,0.0,,,15.0,,,182.0,
"Riz soufflé nature, enrichi en vitamines et minéraux",,,,,,,,,,,,,166.0,
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",,,,,,,,,,12.0,5.0,,196.0,
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",0.0,0.0,,10.0,,,68.0,,,,,,174.0,
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",,,,,,,68.0,,,,,,166.0,
Pétales de maïs natures (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",0.0,0.0,,,,,,,,,,,164.0,
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,,,,,,,,,,,,,161.0,
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",0.0,0.0,,10.0,,,0.0,,,,5.0,,167.0,
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",,,,11.0,,,,,,,,,233.0,
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",0.0,0.0,,,,,,,,,,,185.0,
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",0.0,,,,,,,,,,,,205.0,
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",,,,,,,,,,,,,190.0,
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",,,,,,,74.0,,,13.0,,,,
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",,,,12.0,,,,,,16.0,6.0,,200.0,
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",,,,,,,,,,,,,179.0,
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",,,,,,,,,,,,,,
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",,,,,,,,,,,5.0,,167.0,
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",0.0,,,,,,,,,,,,183.0,
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",,0.0,,,,,,,,,,,204.0,
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",,,,,,,64.0,,,,,,,
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",0.0,,,,,,,,,,,,,
"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",0.0,0.0,,2.0,,,0.0,,,15.0,5.0,,169.0,
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",,,,,,,,,,,,,250.0,
"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",,,,12.0,,,,,,,,,169.0,
"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",0.0,,,,,,51.0,,,,,,148.0,
Muesli floconneux ou de type traditionnel,,,,,,,,,,,,,,
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),,,,,,,,,,,5.0,,166.0,
Blé khorasan complet soufflé,,,,,,,,,,,,,,
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",,0.0,,,,,0.0,1.0,,14.0,,,171.0,
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",,,,10.0,,,68.0,1.0,,,,,173.0,
"Céréales complètes soufflées, enrichies en vitamines et minéraux",,,,,,,51.0,,,,,,168.0,
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",0.0,0.0,,,,,51.0,,,,,,189.0,
"Muesli croustillant, au quinoa",,,,,,,,,,,,,,
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,
Muesli enrichi en vitamines et minéraux (aliment moyen),,,,,,,,,,,,,196.0,
Flocon d'avoine précuit,,,,,,,0.0,,,,,,56.0,
Muesli non enrichi en vitamines et minéraux (aliment moyen),,,,,,,,,,,,,,
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",0.0,0.0,0.0,,,,,,,,,,138.0,
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",0.0,,,,,,50.0,,,,,,169.0,
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",0.0,0.0,,10.0,,,,,,,,,140.0,
Barre céréalière diététique hypocalorique,0.0,0.0,,,,,,,,,,,73.0,
Barre céréalière chocolatée,6.0,11.0,,,,,,,,,,,74.0,
Barre céréalière aux fruits,0.0,,,,,,0.0,,,,,,30.0,
Barre céréalière aux amandes ou noisettes,0.0,,,,,,,,,,,,,
Barre céréalière chocolatée aux fruits,,,,,,,,,,,,,,
"Baba au rhum, préemballé",,,,,,,,,,,,,,
Gâteau (aliment moyen),,,,,,,,,,,,,35.0,
Gâteau Paris-Brest (pâte à choux crème mousseline praliné),143.0,106.0,,,,,,,,,,,,
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises)",,,,,,,,,,,,,,
"Gâteau mousse de fruits sur génoise, type miroir, bavarois",103.0,36.0,,,,,,,,,,,,
Entremets type Opéra,,,,,,,,,,,,,,
Fraisier ou framboisier,89.0,,,,,,,,,,,,,
Baba au rhum,,,,,,,,,,,,,,
Canelé,,,,,,,,,,,,,,
Macaron moelleux fourré à la confiture ou à la crème,0.0,80.0,,,,,,,,,,,,
Bûche de Noël pâtissière,127.0,,,,,,,,,,,,67.0,
"Brownie au chocolat, préemballé",,,,,,,,,,,,,,
Rocher coco ou Congolais (petit gâteau à la noix de coco),,,,,,,,,,,,,,
Biscuit de Savoie,0.0,20.0,,,,,0.0,,,,,,3.0,
"Quatre-quarts, fabrication artisanale",238.0,112.0,,,,,48.0,,,,,,,
"Quatre-quarts, préemballé",220.0,139.0,,,,,,,,,,,,
"Barre pâtissière, préemballé",,,,,,,,,,,,,,
"Gâteau au citron, tout type",,,,,,,,,,,,,,
Far aux pruneaux,,,,,,,,,,,,,,
Kouign Amann,244.0,50.0,,,,,,,,,,,47.0,
Pain d'épices,,2.0,,,,,,,,,,,,
Pain d'épices fourré ou nonette,,,,,,,,,,,,,,
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),92.0,26.0,,,,,,,,,,,24.0,
Corne de gazelle (pâtisserie orientale aux amandes et sirop),,,,,,,,,,,,,37.0,
Chou à la crème (chantilly ou pâtissière),114.0,,,,,,0.0,,,,,,51.0,
"Chou à la crème chantilly, Saint-honoré",211.0,,,,,,,,,,,,,
Chou à la crème pâtissière,17.0,,,,,,,,,,,,,
Éclair,,117.0,1.0,,,,,,,,,,14.0,
Tarte aux fruits et crème pâtissière,,129.0,,,,,,,,,,,,
"Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados)",,,,,,,,,,,,,,
Tarte au citron,62.0,,,,,,,,,,,,,
Tarte ou tartelette aux pommes,27.0,36.0,,,,,5.0,,,,,,,
Tarte aux fraises,34.0,,,,,,,,,,,,,
Crumble aux pommes,,37.0,,,,,,,,,,,,
Tarte aux abricots,,,,,,,,,,,,,,
Tarte aux fruits rouges,,66.0,,,,,,,,,,,,
Tarte Tatin aux pommes,,,,,,,,,,,,,10.0,
"Tarte au chocolat, fabrication artisanale",183.0,,,,,,0.0,,,,,,80.0,
Tarte ou tartelette aux fruits,140.0,90.0,,,,,,,,,,,,
Flan pâtissier aux oeufs ou à la parisienne,,118.0,,,,,,,,,,,,
Charlotte aux fruits,55.0,15.0,,,,,,,,,,,23.0,
Gâteau au chocolat,82.0,44.0,,,,,,,,,,,78.0,
"Gâteau moelleux au chocolat, préemballé",,,,,,,,,,,,,,
Gâteau au yaourt,,,,,,,,,,,,,,
Gâteau au fromage blanc,156.0,34.0,,,,,,,,,,,15.0,
Gâteau moelleux nature type génoise,,,,,,,,,,,,,,
Galette des rois feuilletée,,,,,,,,,,,,,,
"Galette des rois feuilletée, fourrée frangipane, et Pithiviers",,,,,,,,,,,,,28.0,
"Crêpe, nature, préemballée, rayon frais",23.0,,,,,,,,,,,,17.0,
"Crêpe, nature, préemballée, rayon température ambiante",62.0,14.0,,,,,,,,,,,33.0,
"Galette de sarrasin, nature, préemballée",,,,,,,0.0,,,,,,,
"Gâteau basque, crème pâtissière",116.0,,,,,,,,,,,,,
"Gâteau basque, cerises",,,,,,,,,,,,,,
"Crêpe fourrée au sucre, préemballée",,,,,,,,,,,,,,
"Crêpe fourrée à la confiture, maison",,,,,,,,,,,,,,
"Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, maison",,,,,,,,,,,,,,
"Crêpe fourrée chocolat, préemballée",,,,,,,,,,,,,,
"Crêpe fourrée fraise, préemballée",,,,,,,,,,,,,,
"Gaufre fine fourrée au miel, préemballée",,,,,,,,,,,,,10.0,
"Gaufre bruxelloise ou liégeoise, préparation artisanale",627.0,,,,,,,,,,,,,
"Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée",,,,,,,,,,,,,,
